engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
1,1,9.9987,0.2502,100.0,489.05,605.03,1497.17,1304.99,10.52,15.49,394.54,2318.96,8763.8,1.26,45.61,371.69,2388.18,8114.1,8.6476,0.03,369,2319,100.0,28.42,17.1551
1,2,20.0026,0.7,100.0,491.19,607.82,1481.2,1246.11,9.35,13.66,334.36,2323.95,8713.21,1.08,44.26,315.32,2388.12,8053.06,9.2405,0.02,364,2324,100.0,24.29,14.8039
1,3,35.0045,0.84,100.0,449.44,556.0,1359.08,1128.36,5.48,8.0,193.55,2222.67,8340.2,1.02,41.8,183.04,2387.75,8053.04,9.3472,0.02,333,2223,100.0,14.98,8.9125
1,4,42.0066,0.841,100.0,445.0,550.17,1349.69,1127.89,3.91,5.71,138.74,2211.58,8313.85,1.02,42.21,130.4,2387.72,8066.9,9.3961,0.02,332,2212,100.0,10.35,6.4181
1,5,24.9985,0.6213,60.0,462.54,536.72,1253.18,1050.69,7.05,9.03,175.75,1915.1,7997.13,0.94,36.76,164.56,2028.05,7865.66,10.8682,0.02,305,1915,84.93,14.31,8.574
1,6,25.0006,0.6206,60.0,462.54,536.62,1258.9,1047.35,7.05,9.02,175.16,1915.14,8007.49,0.94,36.87,164.46,2028.03,7859.98,10.9378,0.02,307,1915,84.93,14.26,8.4941
1,7,42.0017,0.84,100.0,445.0,549.47,1351.28,1124.43,3.91,5.72,138.68,2211.62,8309.66,1.02,41.99,130.82,2387.73,8069.15,9.3595,0.02,330,2212,100.0,10.57,6.3555
1,8,41.9994,0.8404,100.0,445.0,549.49,1349.2,1126.95,3.91,5.71,138.75,2211.67,8303.29,1.02,42.15,131.0,2387.7,8068.88,9.3753,0.02,330,2212,100.0,10.67,6.2992
1,9,35.0005,0.8408,100.0,449.44,555.64,1357.76,1133.32,5.48,8.0,194.57,2222.74,8337.78,1.02,41.98,182.91,2387.76,8054.19,9.3341,0.02,336,2223,100.0,14.84,8.9374
1,10,20.0001,0.7,100.0,491.19,607.33,1483.66,1261.66,9.35,13.66,334.17,2323.89,8706.03,1.08,44.35,314.94,2388.03,8045.67,9.2522,0.02,365,2324,100.0,24.47,14.6186
1,11,10.0034,0.25,100.0,489.05,604.97,1501.43,1308.06,10.52,15.49,394.14,2318.92,8760.65,1.26,45.25,371.46,2388.16,8118.3,8.6635,0.03,370,2319,100.0,28.39,17.0537
1,12,42.0004,0.8401,100.0,445.0,549.22,1351.25,1128.23,3.91,5.72,139.0,2211.66,8308.93,1.02,42.17,130.65,2387.66,8070.58,9.3755,0.02,331,2212,100.0,10.48,6.341
1,13,25.0065,0.6202,60.0,462.54,536.81,1266.49,1050.65,7.05,9.02,175.86,1915.16,8001.4,0.94,36.69,164.49,2028.05,7865.75,10.9289,0.02,307,1915,84.93,14.21,8.6485
1,14,41.9993,0.8418,100.0,445.0,549.86,1348.21,1124.43,3.91,5.72,139.44,2211.61,8298.62,1.02,42.03,130.7,2387.7,8067.49,9.3854,0.02,333,2212,100.0,10.7,6.3459
1,15,0.0028,0.0,100.0,518.67,642.68,1588.08,1405.52,14.62,21.61,553.31,2388.15,9036.08,1.3,47.4,521.15,2388.13,8117.73,8.4224,0.03,391,2388,100.0,38.92,23.379
1,16,25.0039,0.6201,60.0,462.54,536.85,1255.39,1045.72,7.05,9.02,175.56,1915.16,8006.38,0.94,36.88,164.24,2028.06,7870.18,10.8909,0.02,308,1915,84.93,14.3,8.667
1,17,25.0046,0.62,60.0,462.54,536.43,1263.53,1052.85,7.05,9.03,175.3,1915.18,7994.84,0.94,36.94,165.06,2028.04,7863.58,10.8812,0.02,306,1915,84.93,14.44,8.6406
1,18,20.0066,0.7,100.0,491.19,607.55,1484.77,1254.02,9.35,13.65,335.24,2323.95,8712.86,1.07,44.35,314.97,2387.99,8047.32,9.2314,0.02,365,2324,100.0,24.33,14.6571
1,19,42.0018,0.8408,100.0,445.0,549.74,1349.26,1128.53,3.91,5.71,137.86,2211.57,8304.6,1.02,42.26,130.45,2387.68,8067.8,9.3745,0.02,330,2212,100.0,10.55,6.3165
1,20,35.0069,0.84,100.0,449.44,556.13,1360.08,1132.99,5.48,8.0,194.4,2222.71,8343.05,1.02,41.88,183.22,2387.8,8060.09,9.3425,0.02,333,2223,100.0,14.8,8.8903
1,21,10.0027,0.25,100.0,489.05,604.43,1489.56,1303.94,10.52,15.49,394.24,2318.98,8766.76,1.26,45.4,370.92,2388.15,8116.73,8.681,0.03,370,2319,100.0,28.59,17.1567
1,22,34.9982,0.84,100.0,449.44,555.62,1364.46,1120.07,5.48,8.0,194.89,2222.69,8345.59,1.02,41.88,183.07,2387.82,8055.8,9.3369,0.02,334,2223,100.0,14.81,8.9771
1,23,10.0012,0.2515,100.0,489.05,604.99,1502.94,1315.0,10.52,15.49,394.06,2318.95,8770.88,1.26,45.21,371.6,2388.23,8118.01,8.6643,0.03,370,2319,100.0,28.54,17.0128
1,24,42.0026,0.8409,100.0,445.0,549.02,1358.44,1121.73,3.91,5.71,138.8,2211.6,8305.04,1.02,42.06,129.93,2387.67,8064.59,9.3592,0.02,332,2212,100.0,10.68,6.3513
1,25,20.0049,0.7017,100.0,491.19,607.35,1484.56,1252.51,9.35,13.66,334.46,2323.96,8711.73,1.08,44.38,314.8,2388.07,8050.51,9.2142,0.03,365,2324,100.0,24.53,14.6724
1,26,42.0019,0.8405,100.0,445.0,549.55,1349.35,1130.99,3.91,5.71,138.46,2211.62,8302.33,1.02,42.21,130.65,2387.69,8073.58,9.4075,0.02,331,2212,100.0,10.49,6.3442
1,27,42.007,0.841,100.0,445.0,549.31,1345.42,1130.56,3.91,5.71,138.75,2211.59,8313.13,1.02,42.07,130.78,2387.71,8062.93,9.3916,0.02,330,2212,100.0,10.49,6.3296
1,28,42.0068,0.8418,100.0,445.0,549.3,1357.39,1128.8,3.91,5.71,138.55,2211.62,8308.96,1.02,42.03,130.44,2387.62,8063.99,9.344,0.02,331,2212,100.0,10.57,6.3721
1,29,10.0047,0.25,100.0,489.05,604.49,1501.87,1312.54,10.52,15.49,394.29,2318.92,8760.57,1.26,45.26,371.12,2388.17,8111.83,8.6762,0.03,369,2319,100.0,28.75,17.0546
1,30,41.9983,0.84,100.0,445.0,549.55,1353.61,1131.34,3.91,5.72,138.54,2211.7,8314.66,1.02,42.15,130.82,2387.67,8072.67,9.3877,0.02,330,2212,100.0,10.62,6.3198
1,31,42.0073,0.8404,100.0,445.0,549.58,1352.84,1125.52,3.91,5.71,138.66,2211.67,8316.69,1.02,42.16,130.98,2387.69,8074.86,9.417,0.02,331,2212,100.0,10.56,6.2812
1,32,35.0067,0.8403,100.0,449.44,555.62,1365.86,1134.14,5.48,8.0,194.55,2222.74,8337.42,1.02,41.97,183.04,2387.83,8053.37,9.2959,0.02,334,2223,100.0,14.67,8.9619
1,33,35.0009,0.8408,100.0,449.44,555.87,1364.69,1129.21,5.48,8.0,193.62,2222.8,8339.94,1.02,41.92,182.51,2387.85,8057.7,9.3377,0.02,333,2223,100.0,14.87,8.8815
1,34,25.0023,0.6219,60.0,462.54,536.8,1261.54,1044.79,7.05,9.02,175.52,1915.18,8010.92,0.94,36.84,164.58,2028.07,7871.96,10.896,0.02,306,1915,84.93,14.01,8.6475
1,35,34.9993,0.84,100.0,449.44,555.54,1362.1,1126.92,5.48,8.0,194.41,2222.76,8334.17,1.02,41.8,183.01,2387.81,8053.7,9.2995,0.02,332,2223,100.0,14.86,8.8023
1,36,25.0047,0.6217,60.0,462.54,536.87,1262.34,1052.78,7.05,9.03,175.45,1915.06,8005.43,0.94,36.75,164.53,2028.06,7866.16,10.8845,0.02,306,1915,84.93,14.45,8.5771
1,37,0.0009,0.0012,100.0,518.67,642.07,1596.41,1404.53,14.62,21.61,553.39,2388.09,9045.6,1.3,47.4,521.68,2388.12,8123.08,8.4361,0.03,393,2388,100.0,38.89,23.2925
1,38,42.0062,0.8417,100.0,445.0,549.93,1353.79,1132.17,3.91,5.71,138.57,2211.65,8310.65,1.02,42.25,130.63,2387.72,8073.93,9.3801,0.02,330,2212,100.0,10.58,6.2903
1,39,34.9995,0.842,100.0,449.44,555.82,1361.37,1138.44,5.48,8.0,194.11,2222.72,8340.39,1.02,42.07,182.44,2387.79,8056.15,9.3014,0.02,333,2223,100.0,14.95,8.8077
1,40,20.001,0.7,100.0,491.19,607.87,1490.79,1250.49,9.35,13.66,334.49,2323.9,8716.66,1.08,44.48,314.19,2388.04,8047.41,9.1953,0.02,366,2324,100.0,24.41,14.6732
1,41,0.0025,0.0007,100.0,518.67,642.47,1595.21,1409.72,14.62,21.61,553.44,2388.09,9045.06,1.3,47.46,521.27,2388.1,8120.75,8.4429,0.03,393,2388,100.0,38.83,23.2955
1,42,35.0018,0.84,100.0,449.44,555.2,1366.71,1124.97,5.48,8.0,194.68,2222.7,8336.51,1.02,41.88,183.02,2387.79,8060.12,9.3061,0.02,333,2223,100.0,14.54,8.9625
1,43,25.0034,0.6201,60.0,462.54,536.35,1260.54,1054.11,7.05,9.03,175.73,1915.17,8004.27,0.94,36.76,164.4,2027.99,7864.19,10.8846,0.02,307,1915,84.93,14.31,8.5917
1,44,24.9997,0.62,60.0,462.54,537.17,1259.07,1048.29,7.05,9.02,175.71,1915.14,7999.18,0.94,36.85,164.22,2027.98,7866.04,10.8952,0.02,308,1915,84.93,14.22,8.5249
1,45,25.004,0.6214,60.0,462.54,536.76,1263.3,1049.91,7.05,9.02,175.25,1915.18,8010.73,0.94,36.78,164.36,2028.03,7867.4,10.9544,0.02,307,1915,84.93,14.26,8.7476
1,46,41.9984,0.8416,100.0,445.0,549.74,1347.59,1118.99,3.91,5.72,138.18,2211.64,8309.31,1.02,42.28,130.47,2387.61,8066.95,9.3946,0.02,332,2212,100.0,10.43,6.3785
1,47,20.0047,0.7,100.0,491.19,608.32,1485.03,1259.97,9.35,13.66,334.41,2323.96,8715.47,1.08,44.53,315.23,2388.04,8049.47,9.2428,0.02,365,2324,100.0,24.63,14.5702
1,48,24.9989,0.62,60.0,462.54,536.95,1254.99,1042.54,7.05,9.02,174.9,1915.12,7998.69,0.94,36.63,164.52,2028.04,7863.69,10.9232,0.02,307,1915,84.93,14.15,8.5341
1,49,42.0037,0.8419,100.0,445.0,549.08,1357.48,1126.16,3.91,5.72,138.33,2211.69,8309.25,1.02,42.04,130.08,2387.7,8071.62,9.3347,0.02,331,2212,100.0,10.47,6.3771
1,50,41.9989,0.8405,100.0,445.0,549.66,1349.34,1126.83,3.91,5.71,138.47,2211.56,8310.11,1.02,42.14,130.48,2387.69,8067.64,9.3666,0.02,330,2212,100.0,10.49,6.3317
1,51,25.0028,0.6202,60.0,462.54,536.83,1266.63,1055.68,7.05,9.03,176.31,1915.19,8002.72,0.94,36.71,164.5,2028.01,7863.19,10.9012,0.02,306,1915,84.93,14.28,8.6016
1,52,42.0014,0.8403,100.0,445.0,549.46,1345.85,1128.31,3.91,5.71,138.5,2211.62,8308.02,1.02,41.86,130.96,2387.73,8073.08,9.384,0.02,332,2212,100.0,10.57,6.4166
1,53,10.0012,0.2502,100.0,489.05,605.07,1503.54,1312.19,10.52,15.49,394.76,2318.97,8766.81,1.26,45.5,371.81,2388.21,8119.46,8.667,0.03,368,2319,100.0,28.39,17.088
1,54,19.9988,0.7,100.0,491.19,607.82,1481.63,1259.46,9.35,13.65,334.97,2323.94,8714.38,1.08,44.46,314.66,2388.09,8050.42,9.2473,0.02,365,2324,100.0,24.52,14.7624
